Position,Track Name,Artist,Streams,URL,Date,Region
166,Rocanroles Sin Destino,Callejeros,17848,https://open.spotify.com/track/46yA2K9FA0PaCbeWkezvFC,08/12/2017,ar
167,Imitadora,Romeo Santos,17775,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe,08/12/2017,ar
168,No vaya a ser,Pablo AlborÃ¡n,17528,https://open.spotify.com/track/6ZZOdrcqRZzTCwGlsy00SU,08/12/2017,ar
169,Blow Your Mind (Mwah),Dua Lipa,17523,https://open.spotify.com/track/2eAAEa8pxKF7My0EO4rFgR,08/12/2017,ar
170,Pasarla Bien,Marama,17463,https://open.spotify.com/track/0ZzVPCGdkpKcxAzMNDD5UZ,08/12/2017,ar
171,Believer,Imagine Dragons,17411,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,08/12/2017,ar
172,Besos En Guerra,Morat,17193,https://open.spotify.com/track/1d0c62VFYauOOgxZ2eFUxx,08/12/2017,ar
173,Balada Del Diablo y La Muerte,La Renga,17185,https://open.spotify.com/track/4ObkiTmpsSU31gqGhTb8SH,08/12/2017,ar
174,SerÃ¡ - En Vivo,Las Pelotas,17174,https://open.spotify.com/track/1aYjm9O8FgoTLCL7OKNKu8,08/12/2017,ar
175,#Natural,Paty CantÃº,17137,https://open.spotify.com/track/6QY4K8DzL1HtAZbz7BGGOx,08/12/2017,ar
176,Si Tu Lo Dejas,Rvssian,17076,https://open.spotify.com/track/2naJy8SKJ27gj6ZhRPDKaz,08/12/2017,ar
177,Boom Boom,RedOne,17055,https://open.spotify.com/track/4NzenFNqsYRvrG7rLdF1Ej,08/12/2017,ar
178,EscÃ¡pate Conmigo - Remix,Wisin,16993,https://open.spotify.com/track/5YY7ht3PCArlLjLbcTiAvh,08/12/2017,ar
179,Feels,Calvin Harris,16971,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,08/12/2017,ar
180,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,16839,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,08/12/2017,ar
181,Me Mata,Bad Bunny,16815,https://open.spotify.com/track/2wgDAPgBhFA7pnIbm0YOhP,08/12/2017,ar
